"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "got_wifi" "time_to_wifi"
"11" 40.3427 -74.6614 57.3047 0 1 77228.5 1 TRUE 0
"18" 40.3463 -74.6587 345.586 2.25 1 84664.736000061 1 FALSE -1
"19" 40.3469 -74.6617 0 0 2 85337.6180000305 1 TRUE 0
"21" 40.3496 -74.6526 262 0.93825 2 49882.1159999371 2 TRUE 360
"24" 40.3446 -74.6566 252.773 1.25 1 57354.9319999218 2 FALSE -1
"31" 40.3463 -74.6581 353.39 0.375 3 82690.3299999237 1 TRUE 0
"32" 40.3462 -74.6582 0.29 0.4375 3 83048.3359999657 1 TRUE 0
"33" 40.3464 -74.6582 0 0.25 3 485.035000085831 2 TRUE 0
"34" 40.3463 -74.6582 54.18 1.4375 3 911.94000005722 2 TRUE 0
"42" 40.3427 -74.6614 57.3047 0 1 79798.3210000992 1 TRUE 0
"43" 40.3441 -74.6585 84.0234 1.25 1 81234.6949999332 1 TRUE 420
"46" 40.3501 -74.6527 0 0 4 49859.5959999561 2 TRUE 480
"48" 40.3447 -74.6559 226.406 0.5 1 57295.0720000267 2 FALSE -1
"53" 40.3464 -74.6582 11.49 1.125 3 81184.25 1 TRUE 0
"54" 40.3464 -74.6583 3.23 0.875 3 81245.0550000668 1 TRUE 0
"55" 40.3463 -74.658 2.68 0.8125 3 81606.4230000973 1 TRUE 0
"57" 40.3466 -74.6583 3.29 0.6875 3 83406.3459999561 1 TRUE 0
"61" 40.3475 -74.6622 151.523 1 1 58897.1150000095 3 TRUE 300
"62" 40.3458 -74.6607 165.586 1 1 59077.3250000477 3 TRUE 120
"75" 40.3427 -74.6614 57.3047 0 1 76987.6960000992 1 TRUE 0
"76" 40.3427 -74.6614 57.3047 0 1 77770.4200000763 1 TRUE 60
"80" 40.3456 -74.6543 240.469 0.25 1 84236.9200000763 1 TRUE 300
"84" 40.347 -74.6556 0 3.19206 5 59296.5350000858 2 TRUE 0
"89" 40.3463 -74.6581 4.67 0.875 3 82511.1489999294 1 TRUE 0
"91" 40.3464 -74.6582 9.94 0.8125 3 84906.7730000019 1 TRUE 0
"115" 40.3492 -74.6529 180 1.1259 2 49939.9709999561 2 TRUE 300
"122" 40.3464 -74.6582 335.49 1.5625 3 83886.4869999886 1 TRUE 0
"124" 40.3463 -74.6582 5.51 0.0625 3 551.926000118256 2 TRUE 0
"125" 40.3463 -74.6582 5.95 1.3125 3 1085.18799996376 2 TRUE 0
"127" 40.3505 -74.6566 0 0 1 57658.9049999714 3 FALSE -1
